id,segcode,bmp,emp,direction,rutting,year
111156,001330,181.21,183.4,A,0.12,2001
111140,001330,106.5,111.859,A,0.15,2001
111153,001330,173,178.75,A,0.11,2001
111149,001330,158.86,163.5,A,0.14,2001
111155,001330,179.5,181.21,A,0.11,2001
111141,001330,111.859,117.247,A,0.11,2001
111142,001330,117.247,119.5,A,0.08,2001
111150,001330,163.5,166.503,A,0.27,2001
111146,001330,135.148,143.4,A,0.13,2001
111148,001330,149.92,158.86,A,0.15,2001
111143,001330,119.5,121.092,A,0.08,2001
111151,001330,166.503,167.66,A,0.27,2001
111157,001330,183.4,183.9,A,0.1,2001
111147,001330,143.4,149.92,A,0.16,2001
111154,001330,178.75,179.5,A,0.07,2001
111144,001330,121.092,128,A,0.08,2001
111158,001330,183.9,184.9,A,0.1,2001
111145,001330,128,135.148,A,0.06,2001
111152,001330,167.66,173,A,0.11,2001
111168,001360,0,0.695,A,0.05,2001
111174,001360,3.234,4.24,N,0.35,2001
111167,001350,0.55,1,N,0.11,2001
111163,001340,3.197,3.608,N,0.1,2001
111160,001330,189.86,196,A,0.08,2001
111171,001360,1.87,2.34,N,0.28,2001
111170,001360,1,1.87,N,0.16,2001
111165,001340,4.27,4.546,N,0.13,2001
111161,001340,0,2.015,N,0.18,2001
111162,001340,2.015,3.197,N,0.22,2001
111179,001361,0.695,1.184,N,0.09,2001
111173,001360,2.69,3.234,N,0.31,2001
111172,001360,2.34,2.69,N,0.46,2001
111164,001340,3.818,4.27,N,0.14,2001
111178,001360,5.331,5.57,A,0.09,2001
111176,001360,4.477,4.983,N,0.13,2001
111169,001360,0.695,1,N,0.06,2001
111177,001360,4.983,5.331,N,0.11,2001
111166,001350,0,0.55,N,0.12,2001
111175,001360,4.24,4.477,A,0.09,2001
111190,001370,4.454,4.802,A,0.08,2001
111197,001380,4.526,5.104,N,0.12,2001
111189,001370,4.244,4.454,N,0.12,2001
111184,001370,2.4,2.807,N,0.09,2001
111193,001380,0.17,1.1,N,0.19,2001
111186,001370,3.331,3.659,N,0.07,2001
111196,001380,3.854,4.526,N,0.16,2001
111183,001370,0,2.4,N,0.33,2001
111194,001380,1.1,2.207,N,0.17,2001
111195,001380,2.207,3.854,N,0.23,2001
111199,001380,5.536,5.888,N,0.1,2001
111191,001371,3.705,4.193,N,0.21,2001
111188,001370,3.983,4.244,N,0.22,2001
111182,001361,2.691,3.26,N,0.36,2001
111198,001380,5.104,5.536,N,0.04,2001
111185,001370,2.807,3.331,N,0.07,2001
111180,001361,1.184,2.349,N,0.29,2001
111192,001371,4.193,4.244,N,0.21,2001
111181,001361,2.349,2.691,N,0.32,2001
111187,001370,3.659,3.983,N,0.14,2001
111201,001380,6.315,6.589,N,0.11,2001
111205,001390,9,11.96,N,0.05,2001
111200,001380,5.888,6.315,N,0.1,2001
111214,001540,22.71,26.252,N,0.12,2001
111202,001380,6.589,6.85,N,0.16,2001
111217,001540,29,33.345,N,0.17,2001
111204,001390,0,9,N,0.22,2001
111207,001539,421.21,423.27,N,0.14,2001
111216,001540,28.03,28.94,N,0.14,2001
111206,001390,11.96,13.927,N,0.04,2001
111218,001540,34.195,34.572,N,0.13,2001
111215,001540,26.252,28.03,N,0.22,2001
111219,001540,34.642,34.777,N,0.08,2001
111213,001540,20.25,20.43,N,0.16,2001
111212,001540,16.7,20.25,N,0.19,2001
111203,001380,6.85,7.23,N,0.16,2001
111210,001540,10,13.26,N,0.14,2001
111208,001540,0,6.814,N,0.21,2001
111209,001540,6.814,10,N,0.12,2001
111211,001540,13.26,16.7,N,0.17,2001
111221,001540,38.433,39.19,N,0.08,2001
111230,001540,54.58,60.72,N,0.1,2001
111232,001540,63.07,63.8,N,0.22,2001
111233,001540,64,64.937,N,0.23,2001
111239,001540,68.372,68.753,N,0.22,2001
111235,001540,65.696,66.953,A,0.19,2001
111229,001540,49.12,54.58,N,0.16,2001
111224,001540,46.601,46.941,N,0.05,2001
111220,001540,34.777,38.433,N,0.12,2001
111225,001540,46.941,47.293,N,0.12,2001
111237,001540,67.142,68.02,N,0.22,2001
111228,001540,47.969,48.63,N,0.23,2001
111226,001540,47.293,47.578,N,0.11,2001
111238,001540,68.02,68.372,N,0.2,2001
111234,001540,64.937,65.696,N,0.12,2001
111222,001540,39.19,45.555,N,0.05,2001
111231,001540,60.72,63.07,N,0.22,2001
111227,001540,47.578,47.969,N,0.25,2001
111223,001540,45.555,46.601,N,0.07,2001
111236,001540,66.953,67.142,N,0.31,2001
111253,001540,106.107,108.992,N,0.18,2001
111243,001540,74.227,81.52,N,0.28,2001
111246,001540,82.107,82.327,N,0.1,2001
111256,001540,112.977,113.393,N,0.11,2001
111249,001540,92.263,95,N,0.25,2001
111258,001540,113.8,121.198,N,0.08,2001
111248,001540,91.176,92.263,N,0.39,2001
111241,001540,70.275,71.766,N,0.06,2001
111245,001540,81.743,82.107,N,0.18,2001
111254,001540,108.992,111.501,N,0.1,2001
111252,001540,104.8,106.107,N,0.17,2001
111255,001540,111.501,112.977,N,0.28,2001
111247,001540,83.872,86.606,N,0.09,2001
111259,001540,121.198,123.38,N,0.09,2001
111250,001540,95,97.29,N,0.15,2001
111251,001540,97.29,104.8,N,0.14,2001
111242,001540,71.766,74.227,N,0.26,2001
111244,001540,81.52,81.743,N,0.39,2001
111257,001540,113.393,113.8,N,0.22,2001
111240,001540,68.753,70.275,N,0.15,2001
111278,001540,181.375,182.415,N,0.22,2001
111262,001540,128.885,130.1,N,0.08,2001
111267,001540,136.413,140.5,N,0.07,2001
111261,001540,126.849,128.885,N,0.06,2001
111266,001540,136.08,136.413,N,0.19,2001
111268,001540,140.5,145.8,N,0.05,2001
111275,001540,174.12,176.577,N,0.14,2001
111274,001540,171.926,174.12,N,0.1,2001
111279,001540,182.415,194.736,N,0.14,2001
111270,001540,154.1,160.91,N,0.22,2001
111272,001540,166.2,170.726,N,0.26,2001
111273,001540,170.726,171.926,N,0.18,2001
111271,001540,160.91,166.2,N,0.32,2001
111269,001540,145.8,154.1,N,0.11,2001
111264,001540,131.82,135.381,N,0.23,2001
111260,001540,123.38,126.849,N,0.07,2001
111263,001540,130.1,130.93,N,0.06,2001
111276,001540,176.577,178.344,N,0.17,2001
111277,001540,178.344,181.375,N,0.23,2001
111265,001540,135.381,136.08,N,0.31,2001
111289,001540,237.545,239.51,N,0.19,2001
111296,001540,255.448,261.588,N,0.04,2001
111282,001540,197.63,205.978,N,0.14,2001
111280,001540,194.736,196.1,N,0.1,2001
111294,001540,251.069,254.365,N,0.04,2001
111285,001540,219.24,223.8,N,0.21,2001
111286,001540,223.8,231.4,N,0.1,2001
111299,001540,273.735,273.901,N,0.06,2001
111292,001540,240.31,246.035,N,0.2,2001
111287,001540,231.4,234.338,N,0.12,2001
111288,001540,234.338,237.545,N,0.15,2001
111283,001540,205.978,213.514,N,0.14,2001
111298,001540,272.38,273.544,N,0.16,2001
111295,001540,254.365,255.448,N,0.04,2001
111284,001540,213.514,219.2,N,0.24,2001
111281,001540,196.1,197.63,N,0.2,2001
111297,001540,271.802,272.4,N,0.12,2001
111290,001540,239.51,239.773,N,0.15,2001
111293,001540,246.035,251.069,N,0.25,2001
111291,001540,239.773,240.31,N,0.2,2001
111317,001540,329.891,338.1,N,0.25,2001
111300,001540,273.901,277.987,N,0.14,2001
111308,001540,304.715,305.365,A,0.37,2001
111311,001540,311.92,312.5,N,0.11,2001
111302,001540,279.601,284.969,N,0.1,2001
111301,001540,277.987,279.601,N,0.11,2001
111310,001540,310.07,311.92,A,0.28,2001
111306,001540,297.1,300.309,N,0.33,2001
111305,001540,291.4,297.1,N,0.21,2001
111307,001540,300.309,304.715,N,0.29,2001
111303,001540,284.969,291.095,N,0.08,2001
111319,001540,343.601,344.568,N,0.35,2001
111315,001540,326.529,328.812,N,0.11,2001
111314,001540,323.19,326.529,N,0.22,2001
111316,001540,328.812,329.891,N,0.16,2001
111304,001540,291.095,291.4,N,0.16,2001
111313,001540,317.42,319.88,A,0.29,2001
111318,001540,338.1,343.601,N,0.35,2001
111309,001540,305.365,310.07,A,0.29,2001
111312,001540,312.5,317.42,A,0.17,2001
111338,001540,372.5,378.54,N,0.35,2001
111336,001540,366.473,371.599,N,0.16,2001
111327,001540,350.73,352.13,N,0.12,2001
111334,001540,360.3,361.724,N,0.12,2001
111326,001540,346.604,350.73,N,0.14,2001
111324,001540,345.637,345.95,N,0.19,2001
111331,001540,355.905,357.1,N,0.07,2001
111333,001540,359.4,360.3,N,0.16,2001
111320,001540,344.568,344.745,N,0.25,2001
111335,001540,361.724,366.473,N,0.07,2001
111329,001540,353.599,354.655,N,0.11,2001
111322,001540,345.48,345.566,N,0.29,2001
111337,001540,371.599,372.5,N,0.28,2001
111330,001540,354.655,355.905,N,0.1,2001
111332,001540,357.1,359.4,N,0.09,2001
111323,001540,345.566,345.637,N,0.29,2001
111328,001540,352.13,353.599,N,0.12,2001
111339,001540,378.54,382,N,0.18,2001
111321,001540,344.745,344.767,N,0.25,2001
111325,001540,345.95,346.604,N,0.22,2001
111358,001540,426.614,428.8,N,0.16,2001
111342,001540,390.2,391.5,N,0.19,2001
111355,001540,415.691,417.461,N,0.41,2001
111354,001540,414.8,415.691,N,0.42,2001
111345,001540,393.8,395.45,N,0.24,2001
