id,policy_corridor_name,description
292,6-19,SH 28 Mud Lake - Salmon
275,6-02,DEPRECATED: I 15 Idaho Falls
198,3-10,DEPRECATED: Mountain Home
298,1-21,US 2 Sandpoint
299,1-22,US95 Sandpoint
300,1-23,I 90 B Osburn & Mullen & Wallace & SH 4
301,1-24,SH 54
302,1-25,SH 60
303,1-26,SH 66
304,3-36,SH 44 Expressway Eagle
305,3-37,US-95 Expressway Council
