id,route,milepost_from,segment_from,milepost_to,segment_to,effective_date,jurisdiction_left,jurisdiction_left_code,jurisdiction_right,jurisdiction_right_code,comments,user_update,year
52400,I015 R 003 S OF,0,001402,0.37,001402,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52401,I015 R 003 S ON,0,001403,0.352,001403,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52402,I015 R 013 N OF,0,001404,0.364,001404,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52403,I015 R 013 N ON,0,001405,0.441,001405,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52404,I015 R 013 S OF,0,001406,0.392,001406,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52405,I015 R 013 S ON,0,001407,0.271,001407,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52406,I015 R 017 N OF,0,001408,0.214,001408,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52407,I015 R 017 N ON,0,001409,0.254,001409,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52408,I015 R 017 S OF,0,001410,0.19,001410,1/1/1978,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52409,I015 R 017 S ON,0,001411,0.218,001411,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52410,I015 R 022 N OF,0,001412,0.278,001412,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52411,I015 R 022 N ON,0,001413,0.606,001413,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52412,I015 R 022 S OF,0,001414,0.356,001414,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52413,I015 R 022 S ON,0,001415,0.335,001415,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52414,I015 R 031 N OF,0,001416,0.431,001416,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52415,I015 R 031 N ON,0,001417,0.345,001417,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52416,I015 R 031 S OF,0,001418,0.382,001418,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52417,I015 R 031 S ON,0,001419,0.407,001419,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52418,I015 R 036 N OF,0,001420,0.279,001420,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52419,I015 R 036 N ON,0,001421,0.597,001421,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52420,I015 R 036 S OF,0,001422,0.267,001422,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52421,I015 R 036 S ON,0,001423,0.333,001423,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52422,I015 R 040 N OF,0,001425,0.265,001425,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52423,I015 R 040 N ON,0,001426,0.325,001426,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52424,I015 R 040 S OF,0,001427,0.298,001427,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52425,I015 R 040 S ON,0,001428,0.3,001428,1/1/1978,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52426,I015 R 044 N OF,0,001429,0.239,001429,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52427,I015 R 044 N ON,0,001430,0.273,001430,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52428,I015 R 044 S OF,0,001431,0.227,001431,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52429,I015 R 044 S ON,0,001432,0.259,001432,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52430,I015 R 047 N OF,0,001433,0.262,001433,6/4/2012,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52431,I015 R 047 N ON,0,001434,0.364,001434,10/13/2011,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52432,I015 R 047 S OF,0,001435,0.271,001435,10/13/2011,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52433,I015 R 047 S ON,0,001436,0.304,001436,6/4/2012,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52434,I015 R 057 N OF,0,001438,0.453,001438,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52435,I015 R 057 S ON,0,001439,0.348,001439,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52436,I015 R 058 N ON,0,001440,0.247,001440,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52437,I015 R 058 S OF,0,001441,0.231,001441,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52438,I015 R 063 N OF,0,001442,0.277,001442,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52439,I015 R 063 N ON,0,001443,0.393,001443,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52440,I015 R 063 S OF,0,001444,0.166,001444,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52441,I015 R 063 S ON,0,001445,0.31,001445,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52442,I015 R 067 N OF,0,001446,0.328,001446,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52443,I015 R 067 N ON,0,001447,0.409,001447,9/27/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52444,I015 R 067 S OF,0,001449,0.578,001449,9/27/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52445,I015 R 067 S ON,0,001448,0.237,001448,9/27/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52446,I015 R 069 N OF,0,001451,0.277,001451,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52447,I015 R 069 N ON,0,001452,0.529,001452,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52448,I015 R 069 S OF,0,001453,0.527,001453,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52449,I015 R 069 S ON,0,001454,0.341,001454,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52450,I015 R 069 W ON,0,001272,0.201,001272,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52451,I015 R 071 N OF,0,001455,0.308,001455,9/27/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52452,I015 R 071 N ON,0,001456,0.276,001456,9/27/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52453,I015 R 071 S OF,0,001457,0.34,001457,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52454,I015 R 071 S ON,0,001458,0.33,001458,9/27/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52455,I015 R 080 N OF,0,001462,0.252,001462,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52456,I015 R 080 N ON,0,001463,0.281,001463,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52457,I015 R 080 S OF,0,001464,0.2,001464,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52458,I015 R 080 S ON,0,001465,0.29,001465,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52459,I015 R 089 N OF,0,001466,0.295,001466,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52460,I015 R 089 N ON,0,001467,0.314,001467,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52461,I015 R 089 S OF,0,001468,0.545,001468,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52462,I015 R 089 S ON,0,001469,0.577,001469,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52463,I015 R 093 N OF,0,001470,0.346,001470,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52464,I015 R 093 N ON,0,001471,0.311,001471,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52465,I015 R 093 S OF,0,001472,0.22,001472,1/1/1978,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52466,I015 R 093 S ON,0,001473,0.245,001473,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52467,I015 R 098 N OF,0,001475,0.199,001475,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52468,I015 R 098 N ON,0,001476,0.262,001476,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52469,I015 R 098 S OF,0,001477,0.172,001477,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52470,I015 R 098 S ON,0,001478,0.276,001478,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52471,I015 R 108 N OF,0,001479,0.234,001479,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52472,I015 R 108 N ON,0,001480,0.235,001480,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52473,I015 R 108 S OF,0,001481,0.193,001481,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52474,I015 R 108 S ON,0,001482,0.222,001482,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52475,I015 R 113 N OF,0,001483,0.246,001483,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52476,I015 R 113 N ON,0,001484,0.252,001484,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52477,I015 R 113 S OF,0,001485,0.208,001485,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52478,I015 R 113 S ON,0,001486,0.248,001486,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52479,I015 R 116 N OF,10,030882,10.354,030882,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52480,I015 R 116 N ON,10,030883,10.293,030883,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52481,I015 R 116 S OF,10,030884,10.326,030884,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52482,I015 R 116 S ON,10,030885,10.278,030885,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52483,I015 R 118 N OF,0,001487,0.207,001487,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52484,I015 R 118 N ON,0,001488,0.196,001488,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52485,I015 R 118 S OF,0,001489,0.261,001489,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52486,I015 R 118 S ON,0,001490,0.213,001490,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52487,I015 R 119 N OF,0,001493,0.227,001493,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52488,I015 R 119 N ON,0,001494,0.238,001494,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52489,I015 R 119 S OF,0,001495,0.27,001495,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52490,I015 R 119 S ON,0,001496,0.294,001496,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52491,I015 R 128 N OF,0,001498,0.24,001498,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52492,I015 R 128 N ON,0,001499,0.163,001499,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52493,I015 R 128 S OF,0,001500,0.147,001500,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52494,I015 R 128 S ON,0,001501,0.22,001501,1/1/1978,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52495,I015 R 135 N OF,0,001502,0.215,001502,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52496,I015 R 135 N ON,0,001503,0.225,001503,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52497,I015 R 135 S OF,0,001504,0.168,001504,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52498,I015 R 135 S ON,0,001505,0.213,001505,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52499,I015 R 143 N OF,0,001506,0.244,001506,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52500,I015 R 143 N ON,0,001507,0.252,001507,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52501,I015 R 143 S OF,0,001508,0.205,001508,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52502,I015 R 143 S ON,0,001509,0.249,001509,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52503,I015 R 150 N OF,0,001510,0.193,001510,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52504,I015 R 150 N ON,0,001511,0.181,001511,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52505,I015 R 150 S OF,0,001512,0.195,001512,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52506,I015 R 150 S ON,0,001513,0.181,001513,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52507,I015 R 167 N OF,0,001514,0.287,001514,11/1/2012,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52508,I015 R 167 N ON,0,001515,0.261,001515,11/1/2012,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52509,I015 R 167 S OF,0,001516,0.283,001516,11/1/2012,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52510,I015 R 167 S ON,0,001517,0.267,001517,11/1/2012,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52511,I015 R 172 N OF,0,001520,0.328,001520,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52512,I015 R 172 N ON,0,001518,0.341,001518,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52513,I015 R 172 S OF,0,008581,0.326,008581,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52514,I015 R 172 S ON,0,008582,0.514,008582,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52515,I015 R 180 N OF,0,001522,0.186,001522,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52516,I015 R 180 N ON,0,001523,0.188,001523,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52517,I015 R 180 S OF,0,001524,0.172,001524,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52518,I015 R 180 S ON,0,001525,0.201,001525,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52519,I015 R 184 N OF,0,001526,0.218,001526,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52520,I015 R 184 N ON,0,001527,0.32,001527,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52521,I015 R 184 S OF,0,001528,0.224,001528,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52522,I015 R 184 S ON,0,001529,0.239,001529,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52523,I015 R 190 N OF,0,001530,0.293,001530,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52524,I015 R 190 N ON,0,001531,0.269,001531,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52525,I015 R 190 S OF,0,001532,0.301,001532,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52526,I015 R 190 S ON,0,001533,0.296,001533,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52527,I015 R1 013 S ON,0,001256,0.03,001256,1/1/1978,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52528,I015 R1 040 N OF,10,031214,10.056,031214,11/10/2008,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52529,I015 R1 093 N OF,0,001474,0.06,001474,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52530,I015 R1 118 N ON,0,001492,0.056,001492,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52531,I015 R1 118 S ON,0,001491,0.222,001491,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52532,I015 R1 119 N ON,0,001258,0.025,001258,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52533,I015 R1 119 S ON,0,001259,0.081,001259,1/1/2010,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52534,I015 RA3 DUBOIS,10,026810,10.037,026810,4/30/2012,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52535,I015 RestA NBLACKF S,10,000068,10.675,000068,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52536,I015 RestA1 CHERRYC N,10,000048,10.948,000048,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52537,I015 RestA1 DUBOI,10,000077,10.519,000077,4/30/2012,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52538,I015 RestA1 MALADSU N,10,000056,10.48,000056,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52539,I015 RestA1 NBLACKF N,10,000065,10.71,000065,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52540,I015 RestA2 CHERRYC N,10,000049,10.318,000049,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52541,I015 RestA2 DUBOIS,10,000078,10.201,000078,4/30/2012,ITD District 6,3826,ITD District 6,3826,,SYSTEM,2013
52542,I015 RestA2 MALADSU S,10,000057,10.154,000057,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52543,I015 RestA2 NBLACKF N,10,000066,10.251,000066,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52544,I084,0,001010,17.335,001010,4/2/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52545,I084,17.335,001010,44.007,001010,4/2/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52546,I084,44.007,001010,71.001,001010,4/2/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52547,I084,71.001,001010,121.094,001010,4/2/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52548,I084,121.094,001010,188.301,001010,8/21/2013,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52549,I084,188.301,001010,221.783,001010,6/16/2011,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52550,I084,221.783,001010,275.65,001010,6/16/2011,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52551,I084 B Bliss,138.6,002240,149.992,002240,7/24/1995,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52552,I084 B Bliss,169.447,002040,201.811,002040,6/12/2011,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52553,I084 B Caldwe,0,004635,0.94,004635,2/1/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52554,I084 B Glenns,0,001040,0.59,001040,7/24/1995,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52555,I084 B Glenns,0.221,001050,1.425,001050,9/25/2008,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52556,I084 B Hammet,0,001030,3.178,001030,7/24/1995,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52557,I084 B MtHome,0,001020,4.268,001020,9/4/2003,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52558,I084 B MtHome,93.538,002170,95.308,002170,7/24/1995,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52559,I084 B MtHome,95.308,002070,124.634,002070,7/24/1995,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52560,I084 B NamCal,19.68,002052,19.875,002052,7/24/1995,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52561,I084 B NamCal,50.08,002040,61.797,002040,7/24/1995,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52562,I084 BC Caldwe,50.05,002041,51.46,002041,7/24/1995,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52563,I084 BC MtHome,3.644,001021,4.206,001021,10/31/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52564,I084 BC1 Nampa,57.64,002042,58.67,002042,7/24/1995,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52565,I084 Con 042 W ON,10,025812,10.054,025812,5/25/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52566,I084 CON 173 E OF,0,006627,0.769,006627,8/21/2013,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52567,I084 CON 173 E ON,0,030423,0.532,030423,8/21/2013,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52568,I084 Con 182 E ON,0,025813,0.074,025813,6/1/2011,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52569,I084 Con E 042 OF,10,025809,10.066,025809,5/25/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52570,I084 Con E 042 ON,10,025810,10.055,025810,5/25/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52571,I084 Con E 53 OF,0,025588,0.149,025588,7/22/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52572,I084 Con E 53 ON,0,025585,0.117,025585,7/22/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52573,I084 Con EagleRd Meridn,10,025447,10.053,025447,9/12/2007,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52574,I084 Con frm18 Boise,0,025273,0.147,025273,11/22/2000,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52575,I084 Con to55 Nampa,0,025417,0.063,025417,9/1/2006,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52576,I084 Con toCole Boise,0,019499,0.041,019499,1/1/1996,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52577,I084 Con toOverl Boise,10,030407,10.465,030407,6/11/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52578,I084 Con W 042 Of,10,025811,10.067,025811,5/25/2011,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52579,I084 Con W 53 OF,0,025586,0.163,025586,7/22/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52580,I084 Con W 53 ON,0,025587,0.153,025587,7/22/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52581,I084 Con1 toCole Boise,0,019498,0.06,019498,1/1/1996,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52582,I084 POE BOISE E,10,015836,10.887,015836,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52583,I084 POE BOISE W,10,015835,10.984,015835,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52584,I084 POE1 BLISS E,10,000124,11.033,000124,1/1/2010,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52585,I084 POE1 BLISS W,10,000128,10.913,000128,1/1/2010,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52586,I084 POE1 COTTERL E,10,000023,10.464,000023,8/22/2013,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52587,I084 POE1 COTTERL W,10,000027,10.442,000027,8/19/2013,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52588,I084 POE2 BLISS E,10,000125,10.476,000125,1/1/2010,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52589,I084 POE2 BLISS W,10,000129,10.432,000129,1/1/2010,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52590,I084 POE2 COTTERL E,10,000025,10.283,000025,12/4/2013,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52591,I084 POE2 COTTERL W,10,000029,10.283,000029,8/19/2013,ITD District 4,3804,ITD District 4,3804,,SYSTEM,2013
52592,I084 R 003 E OF,0,001046,0.28,001046,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52593,I084 R 003 E ON,0,001047,0.245,001047,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52594,I084 R 003 W OF,0,001048,0.253,001048,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52595,I084 R 003 W ON,0,001049,0.21,001049,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52596,I084 R 009 E OF,0,001051,0.23,001051,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52597,I084 R 009 E ON,0,001052,0.273,001052,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52598,I084 R 009 W OF,0,001053,0.199,001053,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52599,I084 R 009 W ON,0,001054,0.215,001054,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52600,I084 R 013 E OF,0,001055,0.224,001055,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52601,I084 R 013 E ON,0,001056,0.282,001056,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52602,I084 R 013 W OF,0,001057,0.208,001057,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52603,I084 R 013 W ON,0,001058,0.244,001058,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52604,I084 R 017 E OF,0,001059,0.186,001059,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52605,I084 R 017 E ON,0,001060,0.192,001060,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52606,I084 R 017 W OF,0,001061,0.191,001061,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52607,I084 R 017 W ON,0,001062,0.247,001062,9/1/2004,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52608,I084 R 025 E OF,0,001063,0.503,001063,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52609,I084 R 025 E ON,0,001064,0.226,001064,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52610,I084 R 025 W OF,0,001065,0.211,001065,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52611,I084 R 025 W ON,0,001066,0.439,001066,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52612,I084 R 026 E OF,0,001067,0.26,001067,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52613,I084 R 026 E ON,0,001068,0.304,001068,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52614,I084 R 026 W OF,0,001069,0.216,001069,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
52615,I084 R 026 W ON,0,001070,0.248,001070,1/1/2010,ITD District 3,3793,ITD District 3,3793,,SYSTEM,2013
