id,route,milepost_from,segment_from,milepost_to,segment_to,effective_date,jurisdiction_left,jurisdiction_left_code,jurisdiction_right,jurisdiction_right_code,comments,user_update,year
86891,,100,029661,100.143,029661,12/31/2001,Bonneville County,100,Bonneville County,100,,SYSTEM,2014
86892,,100,029662,100.339,029662,12/31/2001,Bonneville County,100,Bonneville County,100,,SYSTEM,2014
86893,,100,029663,100.179,029663,12/31/2001,Bonneville County,100,Bonneville County,100,,SYSTEM,2014
86894,,100,029666,100.031,029666,12/31/2001,Bonneville County,100,Bonneville County,100,,SYSTEM,2014
86895,,100,029667,100.051,029667,12/31/2001,Bonneville County,100,Bonneville County,100,,SYSTEM,2014
86896,,100,029668,100.75,029668,12/31/2001,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86897,,100,029669,100.724,029669,12/31/2001,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86898,,100,029670,100.044,029670,12/31/2001,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86899,,100,029671,100.141,029671,12/31/2001,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86900,,100,029672,100.227,029672,12/31/2001,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86901,,100,029673,100.528,029673,12/31/2001,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86902,,100,029674,100.16,029674,12/31/2001,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86903,,100,029675,100.399,029675,12/31/2001,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86904,,100,029677,100.363,029677,5/20/2013,Jefferson County,260,Jefferson County,260,,SYSTEM,2014
86905,,100,029678,100.6,029678,12/31/2001,Dietrich Hd #5,950,Dietrich Hd #5,950,,SYSTEM,2014
86906,,100,029681,100.5,029681,1/31/2011,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2014
86907,,100,029682,100.133,029682,12/31/2009,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2014
86908,,100,029683,100.201,029683,12/31/2009,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2014
86909,,100,029684,100.189,029684,1/27/2011,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2014
86910,,100,029685,100.127,029685,1/27/2011,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2014
86911,,100,029687,100.264,029687,7/1/2011,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2014
